
 MQ2:    3003 
 MQ7 :   2802 
 MQ135:  2468 
 
 MQ2:    3009 
 MQ7 :   2828 
 MQ135:  2489 
 
 MQ2:    2978 
 MQ7 :   2792 
 MQ135:  2472 
 
 MQ2:    3002 
 MQ7 :   2809 
 MQ135:  2473 
 
 MQ2:    3010 
 MQ7 :   2803 
 MQ135:  2467 
 
 MQ2:    2981 
 MQ7 :   2794 
 MQ135:  2481 
 
 MQ2:    3007 
 MQ7 :   2814 
 MQ135:  2474 
 
 MQ2:    2985 
 MQ7 :   2802 
 MQ135:  2475 
 
 MQ2:    3001 
 MQ7 :   2793 
 MQ135:  2477 
 
 MQ2:    3312 
 MQ7 :   2769 
 MQ135:  2446 
 
 MQ2:    3301 
 MQ7 :   2748 
 MQ135:  2448 
 
 MQ2:    3292 
 MQ7 :   2755 
 MQ135:  2449 
 
 MQ2:    3300 
 MQ7 :   2749 
 MQ135:  2425 
 
 MQ2:    3303 
 MQ7 :   2771 
 MQ135:  2451 
 
 MQ2:    3323 
 MQ7 :   2772 
 MQ135:  2446 
 
 MQ2:    3326 
 MQ7 :   2750 
 MQ135:  2454 
 
 MQ2:    3333 
 MQ7 :   2778 
 MQ135:  2464 
 
 MQ2:    3322 
 MQ7 :   2768 
 MQ135:  2455 
 
 MQ2:    3325 
 MQ7 :   2759 
 MQ135:  2449 
 
 MQ2:    3312 
 MQ7 :   2748 
 MQ135:  2448 
 
26.0,33.0, MQ2:    3344 
 MQ7 :   2780 
 MQ135:  2465 
 
26.0,33.0, MQ2:    3345 
 MQ7 :   2759 
 MQ135:  2456 
 
26.0,33.0, MQ2:    3325 
 MQ7 :   2759 
 MQ135:  2442 
 
26.0,33.0, MQ2:    3316 
 MQ7 :   2768 
 MQ135:  2443 
 
26.0,33.0, MQ2:    3331 
 MQ7 :   2756 
 MQ135:  2444 
 
26.0,33.0, MQ2:    3344 
 MQ7 :   2781 
 MQ135:  2449 
 
26.0,33.0, MQ2:    3328 
 MQ7 :   2761 
 MQ135:  2458 
 
26.0,33.0, MQ2:    3353 
 MQ7 :   2786 
 MQ135:  2469 
 
26.0,33.0, MQ2:    3352 
 MQ7 :   2784 
 MQ135:  2462 
 
26.0,33.0,
 MQ2:    3318 
 MQ7 :   2760 
 MQ135:  2439 
 
26.0,33.0,
 MQ2:    3304 
 MQ7 :   2766 
 MQ135:  2440 
 
26.0,33.0,
 MQ2:    3312 
 MQ7 :   2761 
 MQ135:  2453 
 
26.0,33.0,
 MQ2:    3339 
 MQ7 :   2771 
 MQ135:  2460 
 
26.0,33.0,
 MQ2:    3313 
 MQ7 :   2785 
 MQ135:  2457 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3364 
 MQ7 :   2770 
 MQ135:  2453 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3341 
 MQ7 :   2779 
 MQ135:  2459 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3351 
 MQ7 :   2764 
 MQ135:  2449 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3338 
 MQ7 :   2751 
 MQ135:  2449 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3345 
 MQ7 :   2759 
 MQ135:  2455 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3366 
 MQ7 :   2779 
 MQ135:  2466 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3367 
 MQ7 :   2783 
 MQ135:  2471 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3369 
 MQ7 :   2784 
 MQ135:  2453 
 
Temperature : 26.0,Humidity : 33.0,
 MQ2:    3324 
 MQ7 :   2763 
 MQ135:  2450 
 
 Temperature : 26.0, Humidity : 33.0,
 MQ2:    3353 
 MQ7 :   2756 
 MQ135:  2449 
 
 Temperature : 26.0, Humidity : 33.0,
 MQ2:    3352 
 MQ7 :   2759 
 MQ135:  2447 
 
 Temperature : 26.0, Humidity : 33.0,
 MQ2:    3353 
 MQ7 :   2762 
 MQ135:  2448 
 
 Temperature : 26.0, Humidity : 33.0,
 MQ2:    3358 
 MQ7 :   2765 
 MQ135:  2454 
 
 Temperature : 26.0, Humidity : 33.0,
 MQ2:    3357 
 MQ7 :   2769 
 MQ135:  2448 
 
